,DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO POBLADO,LATITUD,LONGITUD,VIVIENDAS,POBLACIÓN,RANGO_POB
3774,PIURA,PIURA,CATACAOS,CATACAOS,-5.26727,-80.672423,10565,44124,100000
3775,PIURA,MORROPON,CHULUCANAS,CHULUCANAS,-5.097188,-80.160339,10420,40867,100000
3776,PIURA,PIURA,TAMBO GRANDE,TAMBO GRANDE,-4.928066,-80.337203,6200,24073,100000
3777,PIURA,PIURA,LA UNION,LA UNION,-5.388214,-80.737332,4680,19155,100000
3778,PIURA,PIURA,LA ARENA,LA ARENA,-5.342964,-80.703599,3664,14729,100000
3779,PIURA,SULLANA,QUERECOTILLO,QUERECOTILLO,-4.839274,-80.648203,3325,13173,100000
3780,PIURA,PAITA,COLAN,SAN LUCAS (PUEBLO NUEVO DE COLAN),-4.900653,-81.056431,2935,11540,100000
3781,PIURA,SULLANA,SULLANA,NUEVO SULLANA,-4.908292,-80.723995,3160,10934,100000
3782,PIURA,MORROPON,MORROPON,MORROPON,-5.186215,-79.969243,2491,8949,10000
3783,PIURA,PIURA,CATACAOS,LA LEGUA-SAN JACINTO (LA LEGUA),-5.247943,-80.670109,2111,8863,10000
3784,PIURA,TALARA,EL ALTO,EL ALTO,-4.268616,-81.221298,2225,8016,10000
